english_meaning,arrernte_word,audio_url,all_audio_urls,,,,,,,,,,,,,,,,,
marry ('call someone spouse'),anewe-akeme,https://arrernte-angkentye.online/ecall/audio/anewe-akeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/anewe-akeme_m.mp3,,,,,,,,,,,,,,,,,
one of the eight skin names,Angale,https://arrernte-angkentye.online/ecall/audio/angale_m.mp3,https://arrernte-angkentye.online/ecall/audio/angale_m.mp3,,,,,,,,,,,,,,,,,
hungry,angayakwe,https://arrernte-angkentye.online/ecall/audio/angayakwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/angayakwe_m.mp3,,,,,,,,,,,,,,,,,
fly (insect),angeme,https://arrernte-angkentye.online/ecall/audio/angeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/angeme_m.mp3,,,,,,,,,,,,,,,,,
"heat haze, mirage",angente,https://arrernte-angkentye.online/ecall/audio/angente_m.mp3,https://arrernte-angkentye.online/ecall/audio/angente_m.mp3,,,,,,,,,,,,,,,,,
crow,angepe,https://arrernte-angkentye.online/ecall/audio/angepe_m.mp3,https://arrernte-angkentye.online/ecall/audio/angepe_m.mp3,,,,,,,,,,,,,,,,,
"dig into, dig out",angerneme,https://arrernte-angkentye.online/ecall/audio/angerneme.mp3,https://arrernte-angkentye.online/ecall/audio/angerneme.mp3,,,,,,,,,,,,,,,,,
"speak, talk",angkeme,https://arrernte-angkentye.online/ecall/audio/angkeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/angkeme_m.mp3,,,,,,,,,,,,,,,,,
"language, message",angkentye,https://arrernte-angkentye.online/ecall/audio/angkentye_m.mp3,https://arrernte-angkentye.online/ecall/audio/angkentye_m.mp3,,,,,,,,,,,,,,,,,
thirsty,angkethakwe,https://arrernte-angkentye.online/ecall/audio/angkethakwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/angkethakwe_m.mp3,,,,,,,,,,,,,,,,,
cloud,angkulye,https://arrernte-angkentye.online/ecall/audio/angkulye_m.mp3,https://arrernte-angkentye.online/ecall/audio/angkulye_m.mp3,,,,,,,,,,,,,,,,,
pink cockatoo,angkwene,https://arrernte-angkentye.online/ecall/audio/angkwene_m.mp3,https://arrernte-angkentye.online/ecall/audio/angkwene_m.mp3,,,,,,,,,,,,,,,,,
older sister,angkwere,https://arrernte-angkentye.online/ecall/audio/angkwere_m.mp3,https://arrernte-angkentye.online/ecall/audio/angkwere_m.mp3,,,,,,,,,,,,,,,,,
who?,angwenhe?,https://arrernte-angkentye.online/ecall/audio/angwenhe.mp3,https://arrernte-angkentye.online/ecall/audio/angwenhe.mp3,,,,,,,,,,,,,,,,,
whose?,angwenhe-kenhe?,https://arrernte-angkentye.online/ecall/audio/angwenhe-kenhe_m.mp3,https://arrernte-angkentye.online/ecall/audio/angwenhe-kenhe_m.mp3,,,,,,,,,,,,,,,,,
mid-afternoon,angwenhe-kenhe?,https://arrernte-angkentye.online/ecall/audio/angwenhe-kenhe_m.mp3,,,,,,,,,,,,,,,,,,
late afternoon,ankele,https://arrernte-angkentye.online/ecall/audio/angwenhe-kenhe_m.mp3,,,,,,,,,,,,,,,,,,
"to rain, to water",anheme,https://arrernte-angkentye.online/ecall/audio/anheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/anheme_m.mp3,,,,,,,,,,,,,,,,,
husband's mother,anherre,https://arrernte-angkentye.online/ecall/audio/anherre_m.mp3,https://arrernte-angkentye.online/ecall/audio/anherre_m.mp3,,,,,,,,,,,,,,,,,
male cross-cousin,ankele,https://arrernte-angkentye.online/ecall/audio/ankele_m.mp3,https://arrernte-angkentye.online/ecall/audio/ankele_m.mp3,,,,,,,,,,,,,,,,,
spinifex resin,ankere,https://arrernte-angkentye.online/ecall/audio/ankere.mp3,https://arrernte-angkentye.online/ecall/audio/ankere.mp3,,,,,,,,,,,,,,,,,
coolibah tree,ankerre,https://arrernte-angkentye.online/ecall/audio/ankerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/ankerre_m.mp3,,,,,,,,,,,,,,,,,
Coolibah Swamp (in Alice Springs),Ankerre-Ankerre,https://arrernte-angkentye.online/ecall/audio/ankerre-ankerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/ankerre-ankerre_m.mp3,,,,,,,,,,,,,,,,,
bearded dragon (lizard),ankerte,https://arrernte-angkentye.online/ecall/audio/ankerte_m.mp3,https://arrernte-angkentye.online/ecall/audio/ankerte_m.mp3,,,,,,,,,,,,,,,,,
asleep,ankwe,https://arrernte-angkentye.online/ecall/audio/ankwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/ankwe_m.mp3,,,,,,,,,,,,,,,,,
sleeping ('lying down asleep'),ankwe-inteme,https://arrernte-angkentye.online/ecall/audio/ankwe-inteme.mp3,https://arrernte-angkentye.online/ecall/audio/ankwe-inteme.mp3,,,,,,,,,,,,,,,,,
"seed, fruit",annge,https://arrernte-angkentye.online/ecall/audio/annge_m.mp3,https://arrernte-angkentye.online/ecall/audio/annge_m.mp3,,,,,,,,,,,,,,,,,
mid-afternoon,anngwerre,https://arrernte-angkentye.online/ecall/audio/anngwerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/anngwerre_m.mp3,,,,,,,,,,,,,,,,,
late afternoon,anngwerre-anngwerre,https://arrernte-angkentye.online/ecall/audio/anngwerre-anngwerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/anngwerre-anngwerre_m.mp3,,,,,,,,,,,,,,,,,
"touch something, fiddle with it",anpeme,https://arrernte-angkentye.online/ecall/audio/anpeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/anpeme_m.mp3,,,,,,,,,,,,,,,,,
"passing, on the way through or past",anpere,https://arrernte-angkentye.online/ecall/audio/anpere.mp3,https://arrernte-angkentye.online/ecall/audio/anpere.mp3,,,,,,,,,,,,,,,,,
"pass by, go past",anpere alheme,https://arrernte-angkentye.online/ecall/audio/anpere_alheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/anpere_alheme_m.mp3,,,,,,,,,,,,,,,,,
call someone a (particular) family relation,anperneme,https://arrernte-angkentye.online/ecall/audio/anperneme.mp3,https://arrernte-angkentye.online/ecall/audio/anperneme.mp3,,,,,,,,,,,,,,,,,
"call each other (particular) relations, be related to each other in that way",anpernirreme,https://arrernte-angkentye.online/ecall/audio/anpernirreme.mp3,https://arrernte-angkentye.online/ecall/audio/anpernirreme.mp3,,,,,,,,,,,,,,,,,
the ways Arrernte people are related to each other,anpernirrentye,https://arrernte-angkentye.online/ecall/audio/anpernirrentye.mp3,https://arrernte-angkentye.online/ecall/audio/anpernirrentye.mp3,,,,,,,,,,,,,,,,,
call someone over,antangkeme,https://arrernte-angkentye.online/ecall/audio/antangkeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/antangkeme_m.mp3,,,,,,,,,,,,,,,,,
and [from English],ante,https://arrernte-angkentye.online/ecall/audio/ante.mp3,https://arrernte-angkentye.online/ecall/audio/ante.mp3,,,,,,,,,,,,,,,,,
"only, just",ante,https://arrernte-angkentye.online/ecall/audio/-ante.mp3,https://arrernte-angkentye.online/ecall/audio/-ante.mp3,,,,,,,,,,,,,,,,,
wide,anteke,https://arrernte-angkentye.online/ecall/audio/anteke_m.mp3,https://arrernte-angkentye.online/ecall/audio/anteke_m.mp3,,,,,,,,,,,,,,,,,
south,antekerre,https://arrernte-angkentye.online/ecall/audio/antekerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/antekerre_m.mp3,,,,,,,,,,,,,,,,,
"now, then",anteme,https://arrernte-angkentye.online/ecall/audio/anteme_m.mp3,https://arrernte-angkentye.online/ecall/audio/anteme_m.mp3,,,,,,,,,,,,,,,,,
possum,antenhe,https://arrernte-angkentye.online/ecall/audio/antenhe_m.mp3,https://arrernte-angkentye.online/ecall/audio/antenhe_m.mp3,,,,,,,,,,,,,,,,,
"fat, grease",antere,https://arrernte-angkentye.online/ecall/audio/antere_m.mp3,https://arrernte-angkentye.online/ecall/audio/antere_m.mp3,,,,,,,,,,,,,,,,,
flower,antethe,https://arrernte-angkentye.online/ecall/audio/antethe_m.mp3,https://arrernte-angkentye.online/ecall/audio/antethe_m.mp3,,,,,,,,,,,,,,,,,
to vomit,antewe-irreme,https://arrernte-angkentye.online/ecall/audio/antewe-irreme_m.mp3,https://arrernte-angkentye.online/ecall/audio/antewe-irreme_m.mp3,,,,,,,,,,,,,,,,,
"feel nauseated, feel like vomiting",anteweke-antewe-irreme,https://arrernte-angkentye.online/ecall/audio/anteweke-antewe-irreme.mp3,https://arrernte-angkentye.online/ecall/audio/anteweke-antewe-irreme.mp3,,,,,,,,,,,,,,,,,
"feel nauseated, feel like vomiting",anteweke-anteweke-irreme,https://arrernte-angkentye.online/ecall/audio/anteweke-anteweke-irreme.mp3,https://arrernte-angkentye.online/ecall/audio/anteweke-anteweke-irreme.mp3,,,,,,,,,,,,,,,,,
1. Charles Creek. 2. Charles Creek town camp,Anthelke Ulpaye,https://arrernte-angkentye.online/ecall/audio/anthelke_ulpaye.mp3,https://arrernte-angkentye.online/ecall/audio/anthelke_ulpaye.mp3,,,,,,,,,,,,,,,,,
give,antheme,https://arrernte-angkentye.online/ecall/audio/antheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/antheme_m.mp3,,,,,,,,,,,,,,,,,
women's dancing for ceremony,anthepe,https://arrernte-angkentye.online/ecall/audio/anthepe_m.mp3,https://arrernte-angkentye.online/ecall/audio/anthepe_m.mp3,,,,,,,,,,,,,,,,,
Drive-In town camp,Anthepe,https://arrernte-angkentye.online/ecall/audio/anthepe_m.mp3,https://arrernte-angkentye.online/ecall/audio/anthepe_m.mp3,,,,,,,,,,,,,,,,,
"very, really",anthurre,https://arrernte-angkentye.online/ecall/audio/anthurre_m.mp3,https://arrernte-angkentye.online/ecall/audio/anthurre_m.mp3,,,,,,,,,,,,,,,,,
"guts, stomach (of grubs, animals)",anthwerrke,https://arrernte-angkentye.online/ecall/audio/anthwerrke.mp3,https://arrernte-angkentye.online/ecall/audio/anthwerrke.mp3,,,,,,,,,,,,,,,,,
Emily Gap,Anthwerrke,https://arrernte-angkentye.online/ecall/audio/anthwerrke.mp3,https://arrernte-angkentye.online/ecall/audio/anthwerrke.mp3,,,,,,,,,,,,,,,,,
"climb, ride, go up",antyeme,https://arrernte-angkentye.online/ecall/audio/antyeme.mp3,https://arrernte-angkentye.online/ecall/audio/antyeme.mp3,,,,,,,,,,,,,,,,,
grey-haired,antyenye,https://arrernte-angkentye.online/ecall/audio/antyenye.mp3,https://arrernte-angkentye.online/ecall/audio/antyenye.mp3,,,,,,,,,,,,,,,,,
"dried out, dead (plant)",antyerrke,https://arrernte-angkentye.online/ecall/audio/antyerrke_m.mp3,https://arrernte-angkentye.online/ecall/audio/antyerrke_m.mp3,,,,,,,,,,,,,,,,,
frog,antyetyerre,https://arrernte-angkentye.online/ecall/audio/antyetyerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/antyetyerre_m.mp3,,,,,,,,,,,,,,,,,
"sweat, perspiration",antyeye,https://arrernte-angkentye.online/ecall/audio/antyeye_m.mp3,https://arrernte-angkentye.online/ecall/audio/antyeye_m.mp3,,,,,,,,,,,,,,,,,
bat (smaller types),antyipere,https://arrernte-angkentye.online/ecall/audio/antyipere_m.mp3,https://arrernte-angkentye.online/ecall/audio/antyipere_m.mp3,,,,,,,,,,,,,,,,,
a nest,antywe,https://arrernte-angkentye.online/ecall/audio/antywe_m.mp3,https://arrernte-angkentye.online/ecall/audio/antywe_m.mp3,,,,,,,,,,,,,,,,,
drink something,antyweme,https://arrernte-angkentye.online/ecall/audio/antyweme_m.mp3,https://arrernte-angkentye.online/ecall/audio/antyweme_m.mp3,,,,,,,,,,,,,,,,,
we (more than two people; subject),anwerne,https://arrernte-angkentye.online/ecall/audio/anwerne_m.mp3,https://arrernte-angkentye.online/ecall/audio/anwerne_m.mp3,,,,,,,,,,,,,,,,,
us (more than two people; object form),anwernenhe,https://arrernte-angkentye.online/ecall/audio/anwernenhe_m.mp3,https://arrernte-angkentye.online/ecall/audio/anwernenhe_m.mp3,,,,,,,,,,,,,,,,,
"one, alone",anyente,https://arrernte-angkentye.online/ecall/audio/anyente_m.mp3,https://arrernte-angkentye.online/ecall/audio/anyente_m.mp3,,,,,,,,,,,,,,,,,
"feel, touch, fiddle with",apaneme,https://arrernte-angkentye.online/ecall/audio/apaneme.mp3,https://arrernte-angkentye.online/ecall/audio/apaneme.mp3,,,,,,,,,,,,,,,,,
"lose something, lose someone (passes away)",aparlpe-ileme,https://arrernte-angkentye.online/ecall/audio/aparlpe-ileme.mp3,https://arrernte-angkentye.online/ecall/audio/aparlpe-ileme.mp3,,,,,,,,,,,,,,,,,
to get lost,aparlpe-irreme,https://arrernte-angkentye.online/ecall/audio/aparlpe-irreme_m.mp3,https://arrernte-angkentye.online/ecall/audio/aparlpe-irreme_m.mp3,,,,,,,,,,,,,,,,,
butt of spear,aparre,https://arrernte-angkentye.online/ecall/audio/aparre.mp3,https://arrernte-angkentye.online/ecall/audio/aparre.mp3,,,,,,,,,,,,,,,,,
ask,apaye-uthneme,https://arrernte-angkentye.online/ecall/audio/apaye-uthneme_m.mp3,https://arrernte-angkentye.online/ecall/audio/apaye-uthneme_m.mp3,,,,,,,,,,,,,,,,,
"perhaps, maybe",apeke,https://arrernte-angkentye.online/ecall/audio/apeke_m.mp3,https://arrernte-angkentye.online/ecall/audio/apeke_m.mp3,,,,,,,,,,,,,,,,,
smash something,apekeme,https://arrernte-angkentye.online/ecall/audio/apekeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/apekeme_m.mp3,,,,,,,,,,,,,,,,,
"'I know this myself', definitely",apele,https://arrernte-angkentye.online/ecall/audio/apele.mp3,https://arrernte-angkentye.online/ecall/audio/apele.mp3,,,,,,,,,,,,,,,,,
crested pigeon,apelkere,https://arrernte-angkentye.online/ecall/audio/apelkere_m.mp3,https://arrernte-angkentye.online/ecall/audio/apelkere_m.mp3,,,,,,,,,,,,,,,,,
"follow someone, follow a path",apenteme,https://arrernte-angkentye.online/ecall/audio/apenteme_m.mp3,https://arrernte-angkentye.online/ecall/audio/apenteme_m.mp3,,,,,,,,,,,,,,,,,
sweetish food on gum tree leaves,aperaltye,https://arrernte-angkentye.online/ecall/audio/aperaltye_m.mp3,https://arrernte-angkentye.online/ecall/audio/aperaltye_m.mp3,,,,,,,,,,,,,,,,,
river red gum tree,apere,https://arrernte-angkentye.online/ecall/audio/apere_m.mp3,https://arrernte-angkentye.online/ecall/audio/apere_m.mp3,,,,,,,,,,,,,,,,,
Palmers town camp,Apere Alwerrknge,https://arrernte-angkentye.online/ecall/audio/apere_alwerrknge_m.mp3,https://arrernte-angkentye.online/ecall/audio/apere_alwerrknge_m.mp3,,,,,,,,,,,,,,,,,
"father's mother, woman's son's child",aperle,https://arrernte-angkentye.online/ecall/audio/aperle_m.mp3,https://arrernte-angkentye.online/ecall/audio/aperle_m.mp3,,,,,,,,,,,,,,,,,
butt of spear,aperre,https://arrernte-angkentye.online/ecall/audio/aperre_m.mp3,https://arrernte-angkentye.online/ecall/audio/aperre_m.mp3,,,,,,,,,,,,,,,,,
hot coals,aperrke,https://arrernte-angkentye.online/ecall/audio/aperrke_m.mp3,https://arrernte-angkentye.online/ecall/audio/aperrke_m.mp3,,,,,,,,,,,,,,,,,
"stalk, sneak along",aperreme,https://arrernte-angkentye.online/ecall/audio/aperreme.mp3,https://arrernte-angkentye.online/ecall/audio/aperreme.mp3,,,,,,,,,,,,,,,,,
"stalk, sneak along",aperteme,https://arrernte-angkentye.online/ecall/audio/aperteme_m.mp3,https://arrernte-angkentye.online/ecall/audio/aperteme_m.mp3,,,,,,,,,,,,,,,,,
animal pouch,apethe,https://arrernte-angkentye.online/ecall/audio/apethe_m.mp3,https://arrernte-angkentye.online/ecall/audio/apethe_m.mp3,,,,,,,,,,,,,,,,,
come back,apetye-alpeme,https://arrernte-angkentye.online/ecall/audio/apetye-alpeme.mp3,https://arrernte-angkentye.online/ecall/audio/apetye-alpeme.mp3,,,,,,,,,,,,,,,,,
come,apetyeme,https://arrernte-angkentye.online/ecall/audio/apetyeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/apetyeme_m.mp3,,,,,,,,,,,,,,,,,
"camp, place, country",apmere,https://arrernte-angkentye.online/ecall/audio/apmere_m.mp3,https://arrernte-angkentye.online/ecall/audio/apmere_m.mp3,,,,,,,,,,,,,,,,,
any type of snake,apmwe,https://arrernte-angkentye.online/ecall/audio/apmwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/apmwe_m.mp3,,,,,,,,,,,,,,,,,
yesterday,apmwerrke,https://arrernte-angkentye.online/ecall/audio/apmwerrke_m.mp3,https://arrernte-angkentye.online/ecall/audio/apmwerrke_m.mp3,,,,,,,,,,,,,,,,,
"'shame': shy, ashamed, embarrassed, reserved",apure,https://arrernte-angkentye.online/ecall/audio/apure_m.mp3,https://arrernte-angkentye.online/ecall/audio/apure_m.mp3,,,,,,,,,,,,,,,,,
"feel shame, be shy, be embarrassed",apure-irreme,https://arrernte-angkentye.online/ecall/audio/apure-irreme_m.mp3,https://arrernte-angkentye.online/ecall/audio/apure-irreme_m.mp3,,,,,,,,,,,,,,,,,
tired,apurrke,https://arrernte-angkentye.online/ecall/audio/apurrke_m.mp3,https://arrernte-angkentye.online/ecall/audio/apurrke_m.mp3,,,,,,,,,,,,,,,,,
get tired,apurrke-irreme,https://arrernte-angkentye.online/ecall/audio/apurrke-irreme_m.mp3,https://arrernte-angkentye.online/ecall/audio/apurrke-irreme_m.mp3,,,,,,,,,,,,,,,,,
"heap, clump, ball of, together",apurte,https://arrernte-angkentye.online/ecall/audio/apurte_m.mp3,https://arrernte-angkentye.online/ecall/audio/apurte_m.mp3,,,,,,,,,,,,,,,,,
"whirlwind, willy-willy",apwape,https://arrernte-angkentye.online/ecall/audio/apwape.mp3,https://arrernte-angkentye.online/ecall/audio/apwape.mp3,,,,,,,,,,,,,,,,,
"whirlwind, willy-willy",apwapwe,https://arrernte-angkentye.online/ecall/audio/apwapwe.mp3,https://arrernte-angkentye.online/ecall/audio/apwapwe.mp3,,,,,,,,,,,,,,,,,
black kite (bird),apwelantye,https://arrernte-angkentye.online/ecall/audio/apwelantye.mp3,https://arrernte-angkentye.online/ecall/audio/apwelantye.mp3,,,,,,,,,,,,,,,,,
"rock, stone, hill, money",apwerte,https://arrernte-angkentye.online/ecall/audio/apwerte_m.mp3,https://arrernte-angkentye.online/ecall/audio/apwerte_m.mp3,,,,,,,,,,,,,,,,,
hailstones,apweteke,https://arrernte-angkentye.online/ecall/audio/apweteke_m.mp3,https://arrernte-angkentye.online/ecall/audio/apweteke_m.mp3,,,,,,,,,,,,,,,,,
woman; Aboriginal person,arelhe,https://arrernte-angkentye.online/ecall/audio/arelhe_m.mp3,https://arrernte-angkentye.online/ecall/audio/arelhe_m.mp3,,,,,,,,,,,,,,,,,
short-tailed goanna,aremaye,https://arrernte-angkentye.online/ecall/audio/aremaye_m.mp3,https://arrernte-angkentye.online/ecall/audio/aremaye_m.mp3,,,,,,,,,,,,,,,,,
"see, look at, have a look, watch",areme,https://arrernte-angkentye.online/ecall/audio/areme_m.mp3,https://arrernte-angkentye.online/ecall/audio/areme_m.mp3,,,,,,,,,,,,,,,,,
euro,arenge,https://arrernte-angkentye.online/ecall/audio/arenge_m.mp3,https://arrernte-angkentye.online/ecall/audio/arenge_m.mp3,,,,,,,,,,,,,,,,,
"belonging to, from, associated with",arenye,https://arrernte-angkentye.online/ecall/audio/-arenye.mp3,https://arrernte-angkentye.online/ecall/audio/-arenye.mp3,,,,,,,,,,,,,,,,,
chest,arerre,https://arrernte-angkentye.online/ecall/audio/arerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/arerre_m.mp3,,,,,,,,,,,,,,,,,
"mad, crazy, silly; deaf",arerte,https://arrernte-angkentye.online/ecall/audio/arerte_m.mp3,https://arrernte-angkentye.online/ecall/audio/arerte_m.mp3,,,,,,,,,,,,,,,,,
"not thinking right, silly, irresponsible",arerte-arerte,https://arrernte-angkentye.online/ecall/audio/arerte-arerte_m.mp3,https://arrernte-angkentye.online/ecall/audio/arerte-arerte_m.mp3,,,,,,,,,,,,,,,,,
baby before crawling stage,arethape,https://arrernte-angkentye.online/ecall/audio/arethape_m.mp3,https://arrernte-angkentye.online/ecall/audio/arethape_m.mp3,,,,,,,,,,,,,,,,,
west or north wind,aretharre,https://arrernte-angkentye.online/ecall/audio/aretharre_m.mp3,https://arrernte-angkentye.online/ecall/audio/aretharre_m.mp3,,,,,,,,,,,,,,,,,
"more than two, many",areye,https://arrernte-angkentye.online/ecall/audio/-areye.mp3,https://arrernte-angkentye.online/ecall/audio/-areye.mp3,,,,,,,,,,,,,,,,,
bicycle lizard,arlantye,https://arrernte-angkentye.online/ecall/audio/arlantye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlantye_m.mp3,,,,,,,,,,,,,,,,,
bushy (trees etc),arlarte,https://arrernte-angkentye.online/ecall/audio/arlarte.mp3,https://arrernte-angkentye.online/ecall/audio/arlarte.mp3,,,,,,,,,,,,,,,,,
pencil yam,arlatyeye,https://arrernte-angkentye.online/ecall/audio/arlatyeye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlatyeye_m.mp3,,,,,,,,,,,,,,,,,
"long way, distant",arlenge,https://arrernte-angkentye.online/ecall/audio/arlenge_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlenge_m.mp3,,,,,,,,,,,,,,,,,
dry,arlenye,https://arrernte-angkentye.online/ecall/audio/arlenye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlenye_m.mp3,,,,,,,,,,,,,,,,,
"raw, green, uncooked",arletye,https://arrernte-angkentye.online/ecall/audio/arletye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arletye_m.mp3,,,,,,,,,,,,,,,,,
"whirlwind, willy-willy",arlewarrere,https://arrernte-angkentye.online/ecall/audio/arlewarrere_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlewarrere_m.mp3,,,,,,,,,,,,,,,,,
sand goanna,arlewatyerre,https://arrernte-angkentye.online/ecall/audio/arlewatyerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlewatyerre_m.mp3,,,,,,,,,,,,,,,,,
emu,arleye,https://arrernte-angkentye.online/ecall/audio/arleye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arleye_m.mp3,,,,,,,,,,,,,,,,,
"too, and, as well",arlke,https://arrernte-angkentye.online/ecall/audio/-arlke.mp3,https://arrernte-angkentye.online/ecall/audio/-arlke.mp3,,,,,,,,,,,,,,,,,
"shout out, call out, scream out",arlkeme,https://arrernte-angkentye.online/ecall/audio/arlkeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlkeme_m.mp3,,,,,,,,,,,,,,,,,
dead finish tree,arlketyerre,https://arrernte-angkentye.online/ecall/audio/arlketyerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlketyerre_m.mp3,,,,,,,,,,,,,,,,,
1. eat. 2. ache,arlkweme,https://arrernte-angkentye.online/ecall/audio/arlkweme_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlkweme_m.mp3,,,,,,,,,,,,,,,,,
ring necked parrot,arlpatye,https://arrernte-angkentye.online/ecall/audio/arlpatye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlpatye_m.mp3,,,,,,,,,,,,,,,,,
"leaf, petal, feather, wing.",arlpelhe,https://arrernte-angkentye.online/ecall/audio/arlpelhe_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlpelhe_m.mp3,,,,,,,,,,,,,,,,,
"tall, long",arlpentye,https://arrernte-angkentye.online/ecall/audio/arlpentye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlpentye_m.mp3,,,,,,,,,,,,,,,,,
"green beetle, stink beetle",arlperenye,https://arrernte-angkentye.online/ecall/audio/arlperenye.mp3,https://arrernte-angkentye.online/ecall/audio/arlperenye.mp3,,,,,,,,,,,,,,,,,
bush tomato,arlperrantyeye,https://arrernte-angkentye.online/ecall/audio/arlperrantyeye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlperrantyeye_m.mp3,,,,,,,,,,,,,,,,,
ashes,arlpmenye,https://arrernte-angkentye.online/ecall/audio/arlpmenye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlpmenye_m.mp3,,,,,,,,,,,,,,,,,
"day, daylight",arlte,https://arrernte-angkentye.online/ecall/audio/arlte_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlte_m.mp3,,,,,,,,,,,,,,,,,
middle of the day,arlte mpepe,https://arrernte-angkentye.online/ecall/audio/arlte_mpepe_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlte_mpepe_m.mp3,,,,,,,,,,,,,,,,,
empty,arltwe,https://arrernte-angkentye.online/ecall/audio/arltwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/arltwe_m.mp3,,,,,,,,,,,,,,,,,
gecko types,arlure,https://arrernte-angkentye.online/ecall/audio/arlure.mp3,https://arrernte-angkentye.online/ecall/audio/arlure.mp3,,,,,,,,,,,,,,,,,
"inflated, swollen up",arlware,https://arrernte-angkentye.online/ecall/audio/arlware_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlware_m.mp3,,,,,,,,,,,,,,,,,
"roundish rock, roundish",arlwe,https://arrernte-angkentye.online/ecall/audio/arlwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlwe_m.mp3,,,,,,,,,,,,,,,,,
women's camp,arlwekere,https://arrernte-angkentye.online/ecall/audio/arlwekere_m.mp3,https://arrernte-angkentye.online/ecall/audio/arlwekere_m.mp3,,,,,,,,,,,,,,,,,
"tree, bush, stick, wood, thing",arne,https://arrernte-angkentye.online/ecall/audio/arne_m.mp3,https://arrernte-angkentye.online/ecall/audio/arne_m.mp3,,,,,,,,,,,,,,,,,
"scrub, bush",arne-artne,https://arrernte-angkentye.online/ecall/audio/arne-artne_m.mp3,https://arrernte-angkentye.online/ecall/audio/arne-artne_m.mp3,,,,,,,,,,,,,,,,,
rockhole (where water collects),arnerre,https://arrernte-angkentye.online/ecall/audio/arnerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/arnerre_m.mp3,,,,,,,,,,,,,,,,,
steep bank of creek/river,arnkarre,https://arrernte-angkentye.online/ecall/audio/arnkarre_m.mp3,https://arrernte-angkentye.online/ecall/audio/arnkarre_m.mp3,,,,,,,,,,,,,,,,,
"cliff, very steep sides of hill",arnke,https://arrernte-angkentye.online/ecall/audio/arnke.mp3,https://arrernte-angkentye.online/ecall/audio/arnke.mp3,,,,,,,,,,,,,,,,,
"sullen, sulking",arnkelye,https://arrernte-angkentye.online/ecall/audio/arnkelye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arnkelye_m.mp3,,,,,,,,,,,,,,,,,
single men's camp,arnkentye,https://arrernte-angkentye.online/ecall/audio/arnkentye_m.mp3,https://arrernte-angkentye.online/ecall/audio/arnkentye_m.mp3,,,,,,,,,,,,,,,,,
"bent, crooked, winding",arnkwerte-arnkwerte,https://arrernte-angkentye.online/ecall/audio/arnkwerte-arnkwerte_m.mp3,https://arrernte-angkentye.online/ecall/audio/arnkwerte-arnkwerte_m.mp3,,,,,,,,,,,,,,,,,
"set off (walking), set foot down",arnpenheme,https://arrernte-angkentye.online/ecall/audio/arnpenheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/arnpenheme_m.mp3,,,,,,,,,,,,,,,,,
centipede,arnperrke,https://arrernte-angkentye.online/ecall/audio/arnperrke.mp3,https://arrernte-angkentye.online/ecall/audio/arnperrke.mp3,,,,,,,,,,,,,,,,,
