english_meaning,arrernte_word,audio_url,all_audio_urls,,,,,,,,,,,,,,,,,
split up animal carcase,akiltye-ileme,https://arrernte-angkentye.online/ecall/audio/akiltye-ileme_m.mp3,https://arrernte-angkentye.online/ecall/audio/akiltye-ileme_m.mp3,,,,,,,,,,,,,,,,,
"really upset, in a temper",akiwarre,https://arrernte-angkentye.online/ecall/audio/akiwarre_m.mp3,https://arrernte-angkentye.online/ecall/audio/akiwarre_m.mp3,,,,,,,,,,,,,,,,,
"separate out, pick out, choose",akngakeme,https://arrernte-angkentye.online/ecall/audio/akngakeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/akngakeme_m.mp3,,,,,,,,,,,,,,,,,
"turn something over, change, translate",akngarte-iweme,https://arrernte-angkentye.online/ecall/audio/akngarte-iweme_m.mp3,https://arrernte-angkentye.online/ecall/audio/akngarte-iweme_m.mp3,,,,,,,,,,,,,,,,,
"move (part of ) yourself, shake, twitch",akngelheme,https://arrernte-angkentye.online/ecall/audio/akngelheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/akngelheme_m.mp3,,,,,,,,,,,,,,,,,
carry,akngeme,https://arrernte-angkentye.online/ecall/audio/akngeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/akngeme_m.mp3,,,,,,,,,,,,,,,,,
"big, much, a lot",akngerre,https://arrernte-angkentye.online/ecall/audio/akngerre_m.mp3,https://arrernte-angkentye.online/ecall/audio/akngerre_m.mp3,,,,,,,,,,,,,,,,,
bring,akngetyeme,https://arrernte-angkentye.online/ecall/audio/akngetyeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/akngetyeme_m.mp3,,,,,,,,,,,,,,,,,
"father, father's brother",akngeye,https://arrernte-angkentye.online/ecall/audio/akngeye_m.mp3,https://arrernte-angkentye.online/ecall/audio/akngeye_m.mp3,,,,,,,,,,,,,,,,,
dog,akngwelye,https://arrernte-angkentye.online/ecall/audio/akngwelye_m.mp3,https://arrernte-angkentye.online/ecall/audio/akngwelye_m.mp3,,,,,,,,,,,,,,,,,
dingo,akngwelye artnwere,https://arrernte-angkentye.online/ecall/audio/akngwelye_artnwere.mp3,https://arrernte-angkentye.online/ecall/audio/akngwelye_artnwere.mp3,,,,,,,,,,,,,,,,,
Morris Soak town camp,Akngwertnarre,https://arrernte-angkentye.online/ecall/audio/akngwertnarre.mp3,https://arrernte-angkentye.online/ecall/audio/akngwertnarre.mp3,,,,,,,,,,,,,,,,,
"poor thing, dear thing",akunye,https://arrernte-angkentye.online/ecall/audio/akunye_m.mp3,https://arrernte-angkentye.online/ecall/audio/akunye_m.mp3,,,,,,,,,,,,,,,,,
